mean_fpktl,std_fpktl,mean_fiat,std_fiat,fpkt_rate,fbyte_rate,class
45,3,38823,43269,1.65722E-06,7.54036E-05,TELNET
46,4,21859,40481,4.99054E-05,0.002299807,FTP
226,207,17430,28950,2.03762E-06,0.000460794,HTTP
225,248,40103,61819,2.6402E-05,0.005958047,localForwarding
8222,7849,9423,23976,0.000106219,0.873336809,remoteForwarding
1469,183,2291,19632,0.000436549,0.641600537,scp
1450,245,7688,32157,0.000130256,0.188953722,sftp
146,178,65529,92929,5.9984E-06,0.00087654,x11
152,190,82822,149643,1.2599E-05,0.001918197,shell
8235,7935,9434,24081,0.000106058,0.873453539,remoteForwarding
168,210,20986,21561,5.02968E-05,0.008476326,remoteForwarding
6338,7738,11514,21357,8.81215E-05,0.558534374,remoteForwarding
8299,7960,11461,31996,8.73432E-05,0.724874743,remoteForwarding
7849,7885,18078,49373,5.55297E-05,0.435887491,remoteForwarding
8392,7904,12867,35815,7.77655E-05,0.652611388,remoteForwarding
8276,8032,15763,45488,6.33334E-05,0.524206923,remoteForwarding
8395,7908,13795,39357,7.2519E-05,0.60883218,remoteForwarding
7143,6798,22656,61017,4.39381E-05,0.313862115,remoteForwarding
8327,8015,16009,46586,6.25024E-05,0.520505433,remoteForwarding
8285,8017,16327,47043,6.12872E-05,0.507821969,remoteForwarding
168,210,41307,34593,2.55534E-05,0.00430642,remoteForwarding
7084,6925,23093,63752,4.31369E-05,0.305585286,remoteForwarding
8414,7879,14485,41520,6.90578E-05,0.581060313,remoteForwarding
8016,7665,17954,52371,5.57268E-05,0.446723519,remoteForwarding
8003,7662,22262,64050,4.48648E-05,0.359076839,remoteForwarding
8431,7873,15555,45339,6.42549E-05,0.541785253,remoteForwarding
8183,7823,19636,58558,5.09099E-05,0.41663932,remoteForwarding
8196,7878,20462,60770,4.89014E-05,0.400842184,remoteForwarding
8191,7843,21469,63009,4.6619E-05,0.38188482,remoteForwarding
8442,7880,16234,47579,6.16122E-05,0.52014806,remoteForwarding
168,210,41640,34850,2.53491E-05,0.004271988,remoteForwarding
8263,7873,20461,60645,4.89003E-05,0.40409981,remoteForwarding
8442,7894,16504,48630,6.06043E-05,0.511652141,remoteForwarding
7852,7421,23410,62723,4.28001E-05,0.336087768,remoteForwarding
8307,7920,20805,61607,4.80442E-05,0.399112049,remoteForwarding
8431,7881,17028,50368,5.8738E-05,0.495255236,remoteForwarding
8208,7765,22711,64569,4.40905E-05,0.361932768,remoteForwarding
8324,7936,21067,62494,4.74854E-05,0.395303068,remoteForwarding
8436,7878,17470,51659,5.72472E-05,0.482977322,remoteForwarding
8291,7790,22524,64952,4.43933E-05,0.36809799,remoteForwarding
8343,7950,21216,62876,4.71206E-05,0.393162966,remoteForwarding
8443,7896,17875,53038,5.59513E-05,0.472447252,remoteForwarding
8353,7848,22507,64870,4.44485E-05,0.371311639,remoteForwarding
8345,7965,21293,63003,4.69752E-05,0.392046241,remoteForwarding
8440,7904,18184,53974,5.49973E-05,0.464200088,remoteForwarding
